Date,Close,daily_return,volume,ewma_short,ewma_long,crossover_long,crossover_short,crossover_signal,short_vol,long_vol,vol_trend_long,vol_trend_short,vol_trend_signal,bollinger_mid_band,bollinger_std,bollinger_upper_band,bollinger_lower_band,bollinger_long,bollinger_short,bollinger_signal,Short_Volume,Long_Volume,SMA_Volume_Ratio,crossover_vol_long,crossover_vol_short,crossover_vol_signal,ATR1,ATR2,ATR3,TrueRange,crossover_atr_entry,crossover_atr_exit,crossover_atr_signal
2017-06-05,36.70044708251953,-0.009777987470515836,101326800.0,36.86910735728022,36.880391147218106,0.0,-1.0,-1.0,0.017392844752968085,0.017392844752968085,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.24749755859375,0.25,0.49749755859375,0.49749755859375,1.0,0.0,1.0
2017-06-06,36.82441711425781,0.003377888870387258,106499600.0,36.85210458273811,36.861473891970434,0.0,-1.0,-1.0,0.011909096577135877,0.012268059443357548,1.0,0.0,1.0,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.5074996948242188,0.470001220703125,0.03749847412109375,0.5074996948242188,1.0,0.0,1.0
2017-06-07,37.04376983642578,0.005956719463810378,84278400.0,36.91039404868995,36.907999895836305,1.0,0.0,1.0,0.009572380139797106,0.01011137196145799,1.0,0.0,1.0,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.375,0.38249969482421875,0.00749969482421875,0.38249969482421875,1.0,0.0,1.0
2017-06-08,36.95317077636719,-0.0024457300231226498,85003200.0,36.921468895293664,36.91728627243928,1.0,0.0,1.0,0.00849182136280792,0.009139905218162554,1.0,0.0,1.0,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.2849998474121094,0.042499542236328125,0.24250030517578125,0.2849998474121094,1.0,0.0,1.0
2017-06-09,35.52024459838867,-0.03877681259479149,259530800.0,36.60027223073205,36.676302443341,0.0,-1.0,-1.0,0.02020562434211403,0.018865222955691183,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0,127327760.0,,,0.0,0.0,0.0,2.292499542236328,0.049999237060546875,2.2425003051757812,2.292499542236328,0.0,-1.0,-1.0
2017-06-12,34.67146301269531,-0.02389571342455965,289229200.0,36.198251650603034,36.377849104385,0.0,-1.0,-1.0,0.01917285947479129,0.018672385450485735,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0,164908240.0,,,0.0,0.0,0.0,0.8950004577636719,0.7224998474121094,1.6175003051757812,1.6175003051757812,0.0,-1.0,-1.0
2017-06-13,34.95042037963867,0.008045733946710376,136661600.0,35.95720478345948,36.19064409036907,0.0,-1.0,-1.0,0.018855104610097345,0.01812905712832313,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0,170940640.0,,,0.0,0.0,0.0,0.5750007629394531,0.5074996948242188,0.06750106811523438,0.5750007629394531,1.0,0.0,1.0
2017-06-14,34.609474182128906,-0.009755138673765207,126124800.0,35.712456259603265,36.00506020770748,0.0,-1.0,-1.0,0.016968955363117794,0.016959271089218055,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0,179309920.0,,,0.0,0.0,0.0,0.9150009155273438,0.22750091552734375,0.6875,0.9150009155273438,0.0,-1.0,-1.0
2017-06-15,34.402042388916016,-0.005993497390954339,128661600.0,35.48627980972405,35.83457495434792,0.0,-1.0,-1.0,0.015365749038634307,0.01593296028290857,1.0,0.0,1.0,,,,,0.0,0.0,0.0,188041600.0,,,0.0,0.0,0.0,0.5674972534179688,0.17000198364257812,0.7374992370605469,0.7374992370605469,0.0,0.0,0.0
2017-06-16,33.92043685913086,-0.013999329584580833,201444400.0,35.22719591395162,35.648252006592834,0.0,-1.0,-1.0,0.014217579728862263,0.015263787254024443,1.0,0.0,1.0,,,,,0.0,0.0,0.0,176424320.0,,,0.0,0.0,0.0,0.5750007629394531,0.052501678466796875,0.5224990844726562,0.5750007629394531,1.0,0.0,1.0
2017-06-19,34.89081573486328,0.028607499359820654,130165600.0,35.17347312388795,35.58020939633992,0.0,-1.0,-1.0,0.019341090673000827,0.017951349022429397,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0,144611600.0,,,0.0,0.0,0.0,0.7700004577636719,1.1175003051757812,0.3474998474121094,1.1175003051757812,0.0,-1.0,-1.0
2017-06-20,34.57372283935547,-0.009088147950377934,99600400.0,35.080501126665276,35.496185243558415,0.0,-1.0,-1.0,0.01790334477538763,0.017197935658217117,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0,137199360.0,,,0.0,0.0,0.0,0.4824981689453125,0.13249969482421875,0.34999847412109375,0.4824981689453125,1.0,0.0,1.0
