Date,Close,daily_return,volume,ewma_short,ewma_long,crossover_long,crossover_short,crossover_signal,short_vol,long_vol,vol_trend_long,vol_trend_short,vol_trend_signal,bollinger_mid_band,bollinger_std,bollinger_upper_band,bollinger_lower_band,bollinger_long,bollinger_short,bollinger_signal,Short_Volume,Long_Volume,SMA_Volume_Ratio,crossover_vol_long,crossover_vol_short,crossover_vol_signal,ATR1,ATR2,ATR3,TrueRange,crossover_atr_entry,crossover_atr_exit,crossover_atr_signal
2017-06-23,141.98770141601562,-0.001033716284654651,2214700.0,140.3303506127762,139.78853057955808,1.0,0.0,1.0,0.0067534453891827185,0.007813504914927773,1.0,0.0,1.0,,,,,0.0,0.0,0.0,2709040.0,3428260.0,0.7902084439336573,0.0,-1.0,-1.0,1.0200042724609375,0.649993896484375,0.3700103759765625,1.0200042724609375,0.0,-1.0,-1.0
2017-06-26,141.3633575439453,-0.004397168669144302,2360900.0,140.47806621468644,139.89179426625267,1.0,0.0,1.0,0.00667342463983647,0.0076663949359331105,1.0,0.0,1.0,,,,,0.0,0.0,0.0,2528460.0,3410073.3333333335,0.7414679254209586,0.0,-1.0,-1.0,1.94000244140625,0.82000732421875,1.1199951171875,1.94000244140625,0.0,-1.0,-1.0
2017-06-27,141.14300537109375,-0.0015587644258029387,2139000.0,140.57187887297184,139.96979712012026,1.0,0.0,1.0,0.006254273249836016,0.007432320030677916,1.0,0.0,1.0,,,,,0.0,0.0,0.0,2233380.0,3308546.6666666665,0.6750335494738878,0.0,-1.0,-1.0,1.3600006103515625,0.8600006103515625,0.5,1.3600006103515625,0.0,-1.0,-1.0
2017-06-28,141.67552185058594,0.003772886074602688,1302800.0,140.72579503756327,140.07120916054,1.0,0.0,1.0,0.0058985438482864055,0.007238832715575826,1.0,0.0,1.0,,,,,0.0,0.0,0.0,2004240.0,3200540.0,0.6262193254888238,0.0,-1.0,-1.0,0.9399871826171875,0.959991455078125,0.0200042724609375,0.959991455078125,0.0,-1.0,-1.0
2017-06-29,140.6012420654297,-0.007582677452843356,1975900.0,140.70859683800862,140.101344899759,1.0,0.0,1.0,0.006310993293054808,0.007295012260548147,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1998660.0,3084940.0,0.6478764578889703,0.0,-1.0,-1.0,2.4300079345703125,0.279998779296875,2.1500091552734375,2.4300079345703125,0.0,-1.0,-1.0
2017-06-30,140.62881469726562,0.00019610517966195395,2508200.0,140.69767482451815,140.1300960499987,1.0,0.0,1.0,0.005859718235205143,0.007084625678614476,1.0,0.0,1.0,140.00672149658203,1.5608248658126396,141.56754636239467,138.4458966307694,0.0,0.0,0.0,2057360.0,2975946.6666666665,0.6913295937203177,0.0,-1.0,-1.0,1.0500030517578125,0.6399993896484375,0.410003662109375,1.0500030517578125,0.0,-1.0,-1.0
2017-07-03,140.0227813720703,-0.004309453411094566,1100700.0,140.60596637159537,140.12447555779306,1.0,0.0,1.0,0.005655703460024681,0.006967990892004963,1.0,0.0,1.0,139.993408203125,1.5594249309636519,141.55283313408864,138.43398327216136,0.0,0.0,0.0,1805320.0,2655820.0,0.6797599234887907,0.0,-1.0,-1.0,1.3899993896484375,0.709991455078125,0.6800079345703125,1.3899993896484375,0.0,-1.0,-1.0
2017-07-05,140.54617309570312,0.0037379040646396966,2497300.0,140.59789327460808,140.14574054830356,1.0,0.0,1.0,0.005478013637539253,0.006833302362304599,1.0,0.0,1.0,140.0778823852539,1.5402497738635417,141.61813215911744,138.53763261139036,0.0,0.0,0.0,1876980.0,2537793.3333333335,0.7396110531721785,0.0,-1.0,-1.0,1.5800018310546875,1.07000732421875,0.5099945068359375,1.5800018310546875,0.0,-1.0,-1.0
2017-07-06,140.56451416015625,0.00013049849774726674,2019800.0,140.59341148503492,140.16611130536668,1.0,0.0,1.0,0.005095034077637125,0.0066588167344069854,1.0,0.0,1.0,140.13067855834962,1.5378040853492498,141.66848264369887,138.59287447300036,0.0,0.0,0.0,2020380.0,2494080.0,0.810070246343341,0.0,-1.0,-1.0,1.1300048828125,0.3899993896484375,0.7400054931640625,1.1300048828125,0.0,-1.0,-1.0
2017-07-07,143.48434448242188,0.020772172405752576,4117800.0,140.97971305722632,140.3220831537199,1.0,0.0,1.0,0.00873750493548221,0.007867240015456503,0.0,-1.0,-1.0,140.35288009643554,1.6858965422770433,142.0387766387126,138.6669835541585,0.0,-1.0,-1.0,2448760.0,2600766.6666666665,0.9415531317688375,0.0,-1.0,-1.0,3.410003662109375,3.470001220703125,0.05999755859375,3.470001220703125,0.0,-1.0,-1.0
