Date,Close,daily_return,volume,ewma_short,ewma_long,crossover_long,crossover_short,crossover_signal,short_vol,long_vol,vol_trend_long,vol_trend_short,vol_trend_signal,bollinger_mid_band,bollinger_std,bollinger_upper_band,bollinger_lower_band,bollinger_long,bollinger_short,bollinger_signal,Short_Volume,Long_Volume,SMA_Volume_Ratio,crossover_vol_long,crossover_vol_short,crossover_vol_signal,ATR1,ATR2,ATR3,TrueRange,crossover_atr_entry,crossover_atr_exit,crossover_atr_signal
2017-06-05,1891.5799560546875,-0.0023101779431284886,327600,1893.618401736291,1893.7547787990204,0.0,-1.0,-1.0,0.0035557451932144548,0.0035557451932144548,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,11.3599853515625,4.2900390625,7.0699462890625,11.3599853515625,0.0,-1.0,-1.0
2017-06-06,1889.8599853515625,-0.0009092772936294402,459600,1892.1884809727612,1892.4384755439949,0.0,-1.0,-1.0,0.0024896155999320694,0.0025847614093467346,1.0,0.0,1.0,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,22.02001953125,17.340087890625,4.679931640625,22.02001953125,0.0,-1.0,-1.0
2017-06-07,1890.3699951171875,0.00026986642903614744,380100,1891.6354408816494,1891.9105530571744,0.0,-1.0,-1.0,0.001985311504714946,0.002115466230105693,1.0,0.0,1.0,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,16.3599853515625,4.97998046875,11.3800048828125,16.3599853515625,0.0,-1.0,-1.0
2017-06-08,1892.3800048828125,0.0010632890761157476,339000,1891.8282076627306,1892.007064491058,0.0,-1.0,-1.0,0.0017597427730667093,0.001895863964121554,1.0,0.0,1.0,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,14.4000244140625,8.760009765625,5.6400146484375,14.4000244140625,0.0,-1.0,-1.0
2017-06-09,1842.1199951171875,-0.02655915283185284,667000,1880.4338062765898,1883.40175426767,0.0,-1.0,-1.0,0.012467321111199709,0.011189144188016182,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0,434660.0,,,0.0,0.0,0.0,68.77001953125,2.9300537109375,65.8399658203125,68.77001953125,0.0,-1.0,-1.0
2017-06-12,1812.989990234375,-0.01581330475757603,1001800,1866.376531042804,1872.9198045632236,0.0,-1.0,-1.0,0.011778552989858571,0.011077337537912355,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0,569500.0,,,0.0,0.0,0.0,58.3599853515625,2.6500244140625,61.010009765625,61.010009765625,0.0,-1.0,-1.0
2017-06-13,1843.52001953125,0.016839601686343686,512000,1861.9612782583208,1869.0640693705932,0.0,-1.0,-1.0,0.014879810946798199,0.013160660698742043,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0,579980.0,,,0.0,0.0,0.0,32.1500244140625,41.780029296875,9.6300048828125,41.780029296875,0.0,-1.0,-1.0
2017-06-14,1831.6099853515625,-0.006460485404826688,551800,1856.4494689036003,1864.668036852164,0.0,-1.0,-1.0,0.013432454211820726,0.012320115501704355,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0,614320.0,,,0.0,0.0,0.0,40.550048828125,12.0400390625,28.510009765625,40.550048828125,0.0,-1.0,-1.0
2017-06-15,1809.199951171875,-0.012235156151644389,625000,1848.2942376303981,1858.7688568619485,0.0,-1.0,-1.0,0.012615261410159815,0.011916388638343704,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0,671520.0,,,0.0,0.0,0.0,27.97998046875,12.02001953125,40.0,40.0,0.0,-1.0,-1.0
2017-06-16,1802.6099853515625,-0.0036424751261152633,523800,1840.7353352185264,1853.3023304349574,0.0,-1.0,-1.0,0.011492616203300457,0.011267659605787093,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0,642880.0,,,0.0,0.0,0.0,18.719970703125,6.8800048828125,11.8399658203125,18.719970703125,0.0,-1.0,-1.0
